R	V
738.086231	0.091764
741.223518	0.089157
745.816244	0.086894
749.130646	0.084007
752.968409	0.080117
757.113899	0.075614
759.716987	0.070613
764.925656	0.065158
766.285825	0.059247
771.691073	0.052879
776.042724	0.046296
778.348211	0.039927
783.935659	0.033587
787.290203	0.027970
790.806532	0.023068
794.483353	0.018952
798.601009	0.015847
802.986219	0.013510
806.390524	0.012401
809.783823	0.012175
812.118611	0.012745
817.579884	0.014188
822.079187	0.016534
823.296619	0.019845
827.752323	0.024286
832.264615	0.029666
834.610842	0.035779
840.065690	0.042771
843.429986	0.049962
846.858321	0.056930
849.129797	0.063667
854.734477	0.070213
857.999218	0.075857
862.489468	0.080443
865.867424	0.084376
869.249002	0.087967
872.752409	0.090463
877.226873	0.092194
880.533195	0.093226
883.825441	0.093735
888.372136	0.093260
890.757612	0.092407
895.109987	0.090857
898.474854	0.088695
902.013608	0.085925
906.265050	0.082679
909.674318	0.078668
914.137901	0.074168
917.491284	0.069156
920.875323	0.063584
924.245505	0.057607
928.725149	0.051158
932.318791	0.044706
936.573658	0.038397
940.026147	0.032242
944.467480	0.026629
947.850470	0.021864
952.292260	0.017999
955.966624	0.015179
959.042662	0.013237
962.474584	0.012339
966.983109	0.012296
970.255271	0.013141
974.823978	0.014987
978.189899	0.017835
981.544984	0.021709
986.013944	0.026625
990.473589	0.032581
993.017831	0.039230
997.277435	0.045823
999.668111	0.052783
1005.080090	0.059635
1007.416873	0.066159
1011.891750	0.071954
1016.305837	0.077229
1018.680003	0.081855
1024.189917	0.085725
1027.554267	0.088529
1030.936737	0.090687
1034.334317	0.092271
1037.792330	0.093015
1042.171530	0.093171
1045.539997	0.092438
1048.946137	0.091422
1053.393313	0.089763
1056.779103	0.087419
1060.275810	0.084251
1063.575703	0.080614
1062.491583	0.082014
1059.122953	0.085315
1055.699863	0.088231
1052.056703	0.090506
1048.922123	0.092212
1044.446983	0.093196
1041.065247	0.093594
1037.383593	0.093353
1033.501203	0.092353
1029.853327	0.090625
1025.379530	0.088249
